Tweet,Target,Stance
Always a delight to see chest-drumming alpha males hiss and scuttle backwards up the wall when a feminist enters the room. #manly #SemST,Feminist Movement,FAVOR
Sometimes I overheat and want to take off my shirt but can't because of social expectations of people with breasts. ;n; #SemST,Feminist Movement,FAVOR
"If feminists spent 1/2 as much time reading papers as they do tumblr they would be real people, not ignorant sexist bigots. #SemST",Feminist Movement,AGAINST
"Stupid Feminists, the civilization you take for granted was built with the labour, blood sweat and tears of men. #SemST",Feminist Movement,AGAINST
YOU'RE A GIRL AND HAVE A SEX DRIVE!? YOU MUST BE A SLUT! #feminist #SemST,Feminist Movement,FAVOR
Suns out....  Dresses out...  #StreetHarassment out...  This shouldn't be daily life  #YesAllWomen @EverydaySexism #SemST,Feminist Movement,FAVOR
Women's rights are #humanrights! Join the #CPDvoices twitter rally at 3pm ET if you agree! #CPD48 #SemST,Feminist Movement,FAVOR
So you support unequal pricing based on gender @CamilleBogrand?  Don't you normally call that sexism?  #EqualPayDay #SemST,Feminist Movement,FAVOR
These pics of #pornstars with/without makeup? Just perpetuating the myth that women need makeup to be considered pretty. #SemST,Feminist Movement,FAVOR
#YesAllWomen should know how to protect herself. Which is why I carry a gun. #republicanvalues #SemST,Feminist Movement,FAVOR
links in sauga gotta stop chincing girls and taking away that extra bit #iknowyoudoit  #equality #SemST,Feminist Movement,FAVOR
tired of anti-womanist respectability politics. we need a safe space for women can look like they're at the club at an interview #SemST,Feminist Movement,FAVOR
"If you're a feminist AND you hate men, please kill yourself. #SemST",Feminist Movement,AGAINST
"Women don't make 75% less than men for the same job. Women, on average, make less then men. Look it up feminazis. #EqualPayDay #SemST",Feminist Movement,AGAINST
@lucyblakeman12 You need feminism more than you need anything else in your life. You couldn't survive or speak w/o it. #SemST,Feminist Movement,FAVOR
"MRAs just tried to ""enlighten"" me, which went about as well as the flight of the Hindenburg. #SemST",Feminist Movement,FAVOR
Why do girls/women spend so much time to be pretty and attractive and then complain if they're reduced to a sex symbol? #SemST,Feminist Movement,AGAINST
@randomtweetor i hate to break it to u bruh but women do get pretty for us. They get pretty to show other women #feminist #SemST,Feminist Movement,FAVOR
"Job should always go to best candidate, regardless of gender. Gender shouldn't even matter anymore, it's 2015! #PaulHenry #SemST",Feminist Movement,FAVOR
"What do you say to a woman with two black eyes?  Nothing, she's already been told twice.   #SemST",Feminist Movement,AGAINST
Did you know? Gender stereotypes as we know then developed with beginning of the 18. century. #gender #SemST,Feminist Movement,FAVOR
the time for gender equality is NOW! #SemST,Feminist Movement,FAVOR
Women get paid far more than men to appear in pornography. How come no one is talking about this blatant sexism?!  @amazingatheist #SemST,Feminist Movement,AGAINST
You know you're in a patriarchy when women are the ones who are blamed for prostitution #whatisjustice #inequality #SemST,Feminist Movement,FAVOR
When is it ok for a married 49-year-old CEO to use his power and influence to shag his 22-year-old intern? #AskHillary #SemST,Feminist Movement,FAVOR
I love that girl @EricWynalda on @meganrapinoe_15 What the hell @FOXSports1? Way to diminish women's soccer #USWNT #SemST,Feminist Movement,FAVOR
"Men don't have a right to talk over you, you're voice is important, you are a goddess and don't deserve to be silenced #SemST",Feminist Movement,FAVOR
FINALLY A WOMEN RUNNING FOR PRESIDENT #SemST,Feminist Movement,FAVOR
"Pissed that I got ""talked to"" but he didn't  #SemST",Feminist Movement,FAVOR
I believe that every women should have their own rights!! #SemST,Feminist Movement,FAVOR
@TheRuIes @xDirtyDianna why not she's clearly a part of the squad females can't be with guys without being looked at as a hoe #SemST,Feminist Movement,FAVOR
It upsets me how people are so narrow-minded when it comes to feminism. STEREOTYPING MEN IS NOT . #SemST,Feminist Movement,FAVOR
I am obsessed with becoming a woman comfortable in her skin.  Sandra Cisneros #latinx #woc #SemST,Feminist Movement,FAVOR
I just yelled at my boyfriend for trying to let me win for Mortal Kombat X. #SemST,Feminist Movement,FAVOR
RT @WGSndsu: Let's demand less cat-calling and more cats! #ndsufeminist #Feminist #cats #DogsCanComeToo #SemST,Feminist Movement,FAVOR
Anyone find it funny that #Feminists use #TakeitLikeAMan when they don't want to understand what it means to be one?  #SemST,Feminist Movement,AGAINST
RT @rossansguil: Nothing like dudes joking about molesting me right to my face... #SemST,Feminist Movement,FAVOR
All I'm doing is reading GG tweets and getting angrier. Fuuuuuuuuuuuck men are privileged.  Time for bed. #FeminismIsAwfullyGreat #SemST,Feminist Movement,FAVOR
@FudgieeBuddiee ARE YOU SAYING ALL GIRLS ARE SENSITIVE BECAUSE OF GENDER ROLES? YOU SEXIST SWINE #SemST,Feminist Movement,FAVOR
"@DaniBChristen Yes,a ""greater"" understanding because ur's is ""superior"" 2 mine LOL #IDontNeedFeminism #SemST",Feminist Movement,AGAINST
"when they say men look at women like a piece of meat what do they even mean, they want to cook & eat her? #YesAllWomen #SemST",Feminist Movement,FAVOR
