Tweet,Target,Stance
"We cant deny it, its really happening.  #SemST",Climate Change is a Real Concern,FAVOR
RT @cderworiz: Timelines are short. Strategy must be in place by climate change conference in Paris by December. #ableg #SemST,Climate Change is a Real Concern,FAVOR
SO EXCITING! Meaningful climate change action is on the way! #abpoli #GHG #SemST,Climate Change is a Real Concern,FAVOR
"Delivering good jobs for Albertans, maintaining a stable economy & meeting climate change strategy. Good goals. #abpoli #GHG #SemST",Climate Change is a Real Concern,FAVOR
@davidswann says he wants carbon fund to be spent on public transportation and renewable energy. #ejlive #ableg #SemST,Climate Change is a Real Concern,FAVOR
Questions about the @LancetGH report?  #asklancet tweet chat happening now! #actonclimate #ClimateHealth #SemST,Climate Change is a Real Concern,FAVOR
We are working to elect climate-friendly governments across North America #FeelTheBern #NDP #LPC #GPC #BQ #HARPERPAC.CA #SemST,Climate Change is a Real Concern,FAVOR
@ChrisLeinberger :  change from #drivable to #walkable = #1 benefit 4 #APANE2015 #SemST,Climate Change is a Real Concern,FAVOR
"Our amazing #ESS15 panel @gkremen, @SuffolkBuilds, @maxfieldweiss & @Oakland on how to prepare & protect #BayArea region from #SemST",Climate Change is a Real Concern,FAVOR
The Climate Change people are disgusting assholes. Money transfer scheme for elite. May you rot.   #SemST,Climate Change is a Real Concern,AGAINST
srsly weirds me out i have to wear #sunscreen for the morning #dogwalk getting a #tan at 9am? #wtf #SemST,Climate Change is a Real Concern,FAVOR
RT @GreenLivingGB: @earthhour Looks like a great event. Green is the way forward! #SemST,Climate Change is a Real Concern,FAVOR
There use to be a glacier on the equator. #SemST,Climate Change is a Real Concern,FAVOR
#PathtoPositive #LA region's green leaders United to find local solutions to #LACityHall #SemST,Climate Change is a Real Concern,FAVOR
@MonsterMarcia Kudos to these young people! Next generation of activists! #OnlyOneEarth #SemST,Climate Change is a Real Concern,FAVOR
"Macro problems face us all, but people focus on micro problems because they are within our immediate power to fix #SemST",Climate Change is a Real Concern,FAVOR
Drought effects spreading in western NorAm and BC Gov't will destroy prime farmland to enable more #LNG #SiteC #bcpoli #SemST,Climate Change is a Real Concern,FAVOR
@RegimeChangeBC @ndnstyl It's sad to be the last generation that could change but does nothing. #Auspol #SemST,Climate Change is a Real Concern,FAVOR
Go Dutch New meaning: citizens take their governments to court to make them act on climate promises #Hague #Hope #COP21 #SemST,Climate Change is a Real Concern,FAVOR
Thank you @GreenpeaceNZ for getting out there yesterday and highlighting  one of the most important issues we are facing. #SemST,Climate Change is a Real Concern,FAVOR
"Isn't CO2 impact on warming logarithmic, and at current levels, 390 ppm, incremental impact negligible? #NDP #SemST",Climate Change is a Real Concern,FAVOR
Is the new Pahiatua plant going to be primarily coalfired? Large companies like @Fonterra should be taking the lead against #SemST,Climate Change is a Real Concern,FAVOR
#Mission:#Climate @ home > Buy drinking water & soda in big bottles... #Tip #SemST,Climate Change is a Real Concern,FAVOR
"If you have any remaining doubts about climate change, go watch @chasingice on Netflix and proceed to shitting your pants. #SemST",Climate Change is a Real Concern,FAVOR
"When debunking climate myths: fight sticky myths with stickier facts, mention the myth and explain the fallacy!  #SemST",Climate Change is a Real Concern,FAVOR
@MarkRuffalo @flea333 @kellyslater unfortunate how USA refuses to take seriously damage we're responsible for #SaveTheEarth  #SemST,Climate Change is a Real Concern,FAVOR
Why all talks #Rainforests? 1/6 of the World Russia is not less important ! #DoctorCarbon Advocate #sustainability !   #SemST,Climate Change is a Real Concern,FAVOR
A lot of damage is being done every day. But we are going to win this. #yrcannes #CannesLions #SemST,Climate Change is a Real Concern,FAVOR
@worldfarmersorg congress. @BartoliniMatteo :Dutch way in reducing greenhouse gasses agriculture is excellent example combat #SemST,Climate Change is a Real Concern,FAVOR
"RT @transitionlouth: @BP_plc We need degrowth - stop destroying our planet, BP. #SemST",Climate Change is a Real Concern,FAVOR
' taking a stand to preserve traditional sea levels' #SemST,Climate Change is a Real Concern,FAVOR
"BREAKING: This just in, an ocean wave just broke an inch further on the beach than normal! #SemST",Climate Change is a Real Concern,AGAINST
"With no rain in the next 5 days, it would have been the driest June in #Santiago de #Chile in morden history. #SemST",Climate Change is a Real Concern,FAVOR
"@SenWhitehouse "" Dr. David Legates of the University of Delaware explain....higher temperatures lead to higher levels of CO2 #SemST",Climate Change is a Real Concern,FAVOR
"Politics, Religion, Race; we are so busy killing & hurting each other, Earth dries up & we will all die anyway. #drought #SemST",Climate Change is a Real Concern,FAVOR
"What a great week for social issues #SCOTUS Now, let's get to work on #environment and #SemST",Climate Change is a Real Concern,FAVOR
So #Christian s...  Without beaches what is your God going to make sand people out of?  #RisingSeaLevel #SemST,Climate Change is a Real Concern,FAVOR
"I don't want to be ""that guy"" but can we now make ""climate change denier marriage"" illegal? #MarriageEquaility #Idea #SemST",Climate Change is a Real Concern,FAVOR
"Let's all stop saying people don't ""believe"" in Climate Change. It's not a matter of faith. They don't UNDERSTAND #SemST",Climate Change is a Real Concern,FAVOR
(2/2) 300 words and be sent to climateconference2015@gmail.com #sustainability #sustainabledevelopment #SemST,Climate Change is a Real Concern,FAVOR
@_A___L___I_ well they should! Why do you think people in Karachi r dying? because we don't care about our environment! #SemST,Climate Change is a Real Concern,FAVOR
"@LStygal I'm with you there, plenty of followers on that do to #environment #greenvegans #plugging #SemST",Climate Change is a Real Concern,FAVOR
Eating a cow is 9x worse than eating a chicken in terms of CO2 emissions. #SemST,Climate Change is a Real Concern,FAVOR
"When the Last Tree Is Cut Down, the Last Fish Eaten & the Last Stream Poisoned, You Will Realize That You Cannot Eat Money #SemST",Climate Change is a Real Concern,FAVOR
Climate change?! Explain the definition of climate change.. #fraud #CCOT #liberty #CruzCrew #SemST,Climate Change is a Real Concern,AGAINST
Just got canvassed! Hope you'll join me in supporting @VPIRG this summer! #solar #peoplepower #SemST,Climate Change is a Real Concern,FAVOR
@annbritton @NicolleFlint @guinnipig time will prove who's right. #disease #drought #obesity #SemST,Climate Change is a Real Concern,FAVOR
"Last time I checked, Al Gore is a politician, not a scientist.. #WCS15 #SemST",Climate Change is a Real Concern,AGAINST
"#FF @YebSano, @Alex_Verbeek, @AboutREnergy, @ClimateThing, & @Recycle2Print. Work for a #green energy future. #SemST",Climate Change is a Real Concern,FAVOR
"#FF @CarbonTaxCenter, @ProtecThePlanet, @WCSMyanmar, @ClimateWise2015, & @Pragmactivist99. Work for a #green energy future. #SemST",Climate Change is a Real Concern,FAVOR
#Mission:#Climate @ home > Wrap your water heater in an insulation blanket #Tip #ActOnClimate #SemST,Climate Change is a Real Concern,FAVOR
@DrOakley1689 @PhxApologetics Maybe they just misused their resources and their societies collapsed #deforestation #SemST,Climate Change is a Real Concern,FAVOR
It's hotter in Oregon then it is in California right now. #SemST,Climate Change is a Real Concern,FAVOR
the #KarachiHeatWave death toll climbs to 1210 deaths in 5 days #carbonemissions #SemST,Climate Change is a Real Concern,FAVOR
".@msimire says children, women, elderly people especially at risk to health impacts of #ClimateReporting2015 #SemST",Climate Change is a Real Concern,FAVOR
Observations on the atmosphere and oceans reflect the human influence in climate change via Dr. Dimitra Founda #rengreece #SemST,Climate Change is a Real Concern,FAVOR
#Mission:#Climate @ home > Opt for reusable bags instead of plastic bags (by @gaiam) #Tip #ActOnClimate #SemST,Climate Change is a Real Concern,FAVOR
RT @zerofootprint: RT @ClimateReality: #ClimateFact India may stand to lose 1.8% of its annual GDP by 2050 due to #SemST,Climate Change is a Real Concern,FAVOR
